Scopus SourceID,Quartile,Top 10% (CiteScore Percentile)
25143,Quartile 1,Top 10%
25143,Quartile 1,Top 10%
25143,Quartile 1,Top 10%
25143,Quartile 1,Top 10%
6000195395,Quartile 1,Top 10%
21195,Quartile 1,Top 10%
21195,Quartile 1,Top 10%
21121,Quartile 1,Top 10%
24658,Quartile 1,Top 10%
24658,Quartile 1,Top 10%
12229,Quartile 1,Top 10%
12229,Quartile 1,Top 10%
12229,Quartile 1,Top 10%
12229,Quartile 1,Top 10%
17399,Quartile 1,Top 10%
17399,Quartile 1,Top 10%
15623,Quartile 1,Top 10%
15623,Quartile 1,Top 10%
24032,Quartile 1,Top 10%
24032,Quartile 1,Top 10%
24032,Quartile 1,Top 10%
24032,Quartile 1,Top 10%
24032,Quartile 1,Top 10%
17382,Quartile 1,Top 10%
17382,Quartile 1,Top 10%
17382,Quartile 1,Top 10%
19907,Quartile 1,Top 10%
19907,Quartile 1,Top 10%
19907,Quartile 1,Top 10%
17924,Quartile 1,Top 10%
18797,Quartile 1,Top 10%
18797,Quartile 1,Top 10%
21365,Quartile 1,Top 10%
21365,Quartile 1,Top 10%
14317,Quartile 1,Top 10%
14317,Quartile 1,Top 10%
14317,Quartile 1,Top 10%
12354,Quartile 1,Top 10%
17400,Quartile 1,Top 10%
17400,Quartile 1,Top 10%
22581,Quartile 1,Top 10%
22581,Quartile 1,Top 10%
9500153997,Quartile 1,Top 10%
9500153997,Quartile 1,Top 10%
9500153997,Quartile 1,Top 10%
9500153997,Quartile 1,Top 10%
9500153997,Quartile 1,Top 10%
9500153997,Quartile 1,Top 10%
9500153997,Quartile 1,Top 10%
29646,Quartile 1,Top 10%
29646,Quartile 1,Top 10%
29646,Quartile 1,Top 10%
24254,Quartile 1,Top 10%
24254,Quartile 1,Top 10%
24254,Quartile 1,Top 10%
24254,Quartile 1,Top 10%
24254,Quartile 1,Top 10%
4000151809,Quartile 1,Top 10%
4000151809,Quartile 1,Top 10%
4000151809,Quartile 1,Top 10%
4000151809,Quartile 1,Top 10%
4000151809,Quartile 1,Top 10%
4000151809,Quartile 1,Top 10%
26371,Quartile 1,Top 10%
26371,Quartile 1,Top 10%
26371,Quartile 1,Top 10%
4700152228,Quartile 1,Top 10%
4700152228,Quartile 1,Top 10%
4700152228,Quartile 1,Top 10%
4700152228,Quartile 1,Top 10%
