,Country Name,Country Code,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
63,Europe & Central Asia,ECS,Scientific and technical journal articles,,,,,,,,,,,463599.117088566,494503.580217286,545821.9185564889,565238.116749017,596147.606464889,621352.911922456,652018.000085726,671191.007598332,702953.656835904,734248.052027832,754879.039184802,775796.1204606659,772776.927210156,758302.865551021,
64,Ecuador,ECU,Scientific and technical journal articles,,,,,,,,,,,96.1,91.5,126.2,123.4,140.9,152.0,181.9,190.0,168.6,253.5,270.2,409.1,666.0,1096.1,
65,"Egypt, Arab Rep.",EGY,Scientific and technical journal articles,,,,,,,,,,,3296.1,3549.3,3600.0,3958.3,4512.1,4918.8,6105.2,6665.5,7426.6,8514.4,8949.2,9311.2,9830.6,10807.0,
66,Euro area,EMU,Scientific and technical journal articles,,,,,,,,,,,258645.5,276817.5,308140.0,323375.6,340977.2,356900.3,374452.4,383324.6,400246.0,418311.2,426446.1,436168.2,424197.8,410882.8,
67,Eritrea,ERI,Scientific and technical journal articles,,,,,,,,,,,15.2,11.7,12.8,17.4,16.5,10.0,7.0,11.7,13.3,5.2,10.6,7.5,9.7,8.5,
68,Spain,ESP,Scientific and technical journal articles,,,,,,,,,,,28887.2,31479.4,35673.9,39270.5,42014.7,43958.6,47326.9,49035.6,52355.1,55108.1,55736.4,57075.8,54794.2,52820.7,
69,Estonia,EST,Scientific and technical journal articles,,,,,,,,,,,555.3,625.1,715.5,853.7,1014.9,1118.0,1128.0,1407.1,1381.7,1475.0,1506.4,1675.2,1604.2,1481.7,
70,Ethiopia,ETH,Scientific and technical journal articles,,,,,,,,,,,209.6,202.5,220.5,272.0,309.1,342.9,413.0,451.1,513.5,710.6,842.4,1025.0,1020.8,1121.0,
71,European Union,EUU,Scientific and technical journal articles,,,,,,,,,,,388657.0,414985.1,459901.1,480818.1,506962.8,528948.8,553592.5,568066.2,593001.5,619018.3,632209.0,646623.0,635063.2,613774.3,
72,Fragile and conflict affected situations,FCS,Scientific and technical journal articles,,,,,,,,,,,1490.9906282472598,1522.18068890057,1748.17900397725,2055.30010667235,2193.8964314661803,2478.40780052804,2801.54812815305,3333.30720800453,3458.56213035656,3859.63382506715,4133.87335494801,4358.85840843397,4418.78716259122,5134.60283724725,
73,Finland,FIN,Scientific and technical journal articles,,,,,,,,,,,7792.3,8500.7,9037.7,9204.0,9413.7,9579.8,9921.3,9976.6,10345.3,10488.1,10824.1,11220.0,10752.7,10545.1,
74,Fiji,FJI,Scientific and technical journal articles,,,,,,,,,,,47.1,64.4,58.8,75.0,85.8,63.3,68.0,62.6,62.1,67.6,89.5,123.2,99.4,154.9,
75,France,FRA,Scientific and technical journal articles,,,,,,,,,,,51757.8,54775.8,59581.4,62448.0,64476.8,67209.2,69380.8,70177.1,72035.5,74413.7,75266.0,75017.4,72224.4,69430.8,
76,Faroe Islands,FRO,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Micronesia, Fed. Sts.",FSM,Scientific and technical journal articles,,,,,,,,,,,2.3,2.4,6.0,2.0,7.1,4.3,2.9,8.2,4.9,4.5,5.9,3.2,4.3,2.7,
78,Gabon,GAB,Scientific and technical journal articles,,,,,,,,,,,28.6,33.3,43.1,42.6,34.1,42.9,50.4,43.7,57.3,52.0,50.6,60.1,60.3,59.2,
79,United Kingdom,GBR,Scientific and technical journal articles,,,,,,,,,,,74599.8,78314.4,84993.1,88060.9,91352.4,92000.6,94757.4,95488.8,98479.6,101367.0,103051.0,102970.6,101407.0,97526.9,
80,Georgia,GEO,Scientific and technical journal articles,,,,,,,,,,,216.6,269.2,377.0,357.5,307.4,350.1,406.6,346.4,463.2,441.4,473.4,486.1,492.0,579.4,
81,Ghana,GHA,Scientific and technical journal articles,,,,,,,,,,,145.9,175.3,191.1,195.1,249.0,269.2,336.2,367.3,439.3,549.5,603.7,662.2,794.8,982.1,
82,Gibraltar,GIB,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
83,Guinea,GIN,Scientific and technical journal articles,,,,,,,,,,,5.1,10.6,7.0,18.9,15.1,11.8,12.0,11.4,11.2,11.6,11.3,23.8,27.3,38.0,
84,"Gambia, The",GMB,Scientific and technical journal articles,,,,,,,,,,,30.7,37.4,36.0,46.1,36.2,41.7,40.2,44.7,33.8,37.3,45.1,49.2,42.7,46.5,
85,Guinea-Bissau,GNB,Scientific and technical journal articles,,,,,,,,,,,8.0,9.6,9.4,5.7,12.1,7.3,8.3,5.8,10.4,12.8,12.0,17.9,10.3,11.5,
86,Equatorial Guinea,GNQ,Scientific and technical journal articles,,,,,,,,,,,1.2,4.1,1.5,3.7,3.8,2.4,4.8,4.0,2.2,2.8,2.3,2.2,5.1,7.4,
87,Greece,GRC,Scientific and technical journal articles,,,,,,,,,,,6680.5,7780.4,9248.9,10684.0,11041.0,11774.1,12118.0,11954.3,11967.4,11980.5,11923.4,11752.7,11195.8,10725.4,
88,Grenada,GRD,Scientific and technical journal articles,,,,,,,,,,,5.7,5.6,5.7,14.1,20.4,23.8,19.5,15.6,26.7,28.1,35.8,55.5,31.5,34.3,
89,Greenland,GRL,Scientific and technical journal articles,,,,,,,,,,,8.8,23.5,16.4,14.4,15.5,15.9,12.8,21.4,18.8,26.3,33.8,22.9,32.2,25.5,
90,Guatemala,GTM,Scientific and technical journal articles,,,,,,,,,,,26.6,28.7,50.9,38.1,36.9,38.7,64.7,54.8,48.4,74.6,84.2,72.5,86.0,85.1,
91,Guam,GUM,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
92,Guyana,GUY,Scientific and technical journal articles,,,,,,,,,,,7.1,11.5,18.2,10.1,13.0,12.1,10.2,20.6,9.7,12.4,11.7,12.1,8.8,13.7,
93,High income,HIC,Scientific and technical journal articles,,,,,,,,,,,961657.008151907,1035208.2974855,1143250.03037308,1185316.79686504,1230163.75533571,1260901.15637771,1303528.61692054,1342136.69520005,1400034.09994291,1443760.98034467,1467754.836241,1495702.67353097,1463172.64371992,1411361.95381653,
94,"Hong Kong SAR, China",HKG,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
95,Honduras,HND,Scientific and technical journal articles,,,,,,,,,,,10.8,14.3,15.2,13.4,12.0,16.7,16.4,24.1,18.9,25.6,19.8,27.7,31.4,33.0,
96,Heavily indebted poor countries (HIPC),HPC,Scientific and technical journal articles,,,,,,,,,,,1880.2341283601397,2037.09526237392,2280.86649509698,2565.6497119876503,2982.97165820047,3125.07511212709,3457.2,3872.5,4405.00251918456,4827.3424540733295,5312.367763752871,5999.08676656647,6329.34017977856,6825.070462258371,
97,Croatia,HRV,Scientific and technical journal articles,,,,,,,,,,,2464.9,2577.3,3160.0,3124.0,3758.0,3976.4,4410.3,4421.2,4965.7,4813.5,4701.8,4473.8,4398.1,4056.0,
98,Haiti,HTI,Scientific and technical journal articles,,,,,,,,,,,5.8,7.5,7.2,15.1,10.8,7.3,11.8,13.3,17.1,16.5,29.0,38.3,33.8,30.1,
99,Hungary,HUN,Scientific and technical journal articles,,,,,,,,,,,4500.2,4796.0,5542.0,5530.3,5884.6,6408.5,6029.9,5870.6,6419.3,6570.6,6468.0,6858.9,6566.3,6207.6,
100,IBRD only,IBD,Scientific and technical journal articles,,,,,,,,,,,245296.26639645602,293176.914462682,359083.628894965,403951.75852577604,451790.94263353205,514727.11822442204,582812.6,639692.2463290071,693961.6,717635.6,774591.5,838610.2,878444.7,917780.4,
101,IDA & IBRD total,IBT,Scientific and technical journal articles,,,,,,,,,,,252386.973101964,301094.69025940896,368467.462439402,414764.491001955,464436.458325855,528440.642332769,598932.8931185111,657985.9761688589,713026.292773882,738234.5268630909,797155.4205589109,862479.9107217371,902383.42688285,943927.3478192609,
102,IDA total,IDA,Scientific and technical journal articles,,,,,,,,,,,6702.8018610587,7452.14447167672,8812.32402894343,10170.7515187651,11929.3310189764,12890.6230886696,15192.0845840067,17278.726701333602,19064.7617814489,20599.1725935784,22564.2275452383,23869.9795966471,23938.887620806097,26147.244778217002,
103,IDA blend,IDB,Scientific and technical journal articles,,,,,,,,,,,3981.99011450599,4518.57743737716,5499.5198848184,6422.99039119968,7475.37073976479,8110.146577942671,9822.76880774307,11140.5,12451.1,12979.4,14492.4,14871.4,14707.0,15919.7,
104,Indonesia,IDN,Scientific and technical journal articles,,,,,,,,,,,359.7,447.4,545.3,619.0,613.8,678.0,1014.0,1344.6,1821.4,2027.8,2776.3,3465.2,5071.5,7728.7,
105,IDA only,IDX,Scientific and technical journal articles,,,,,,,,,,,2703.9822777631503,2912.8147970971995,3284.6809124195697,3713.5446684228796,4415.11807276088,4737.768792228139,5316.07089392439,6078.00836433299,6613.60842343322,7619.98794358347,8071.95923881538,8998.87608691511,9232.25586315261,10227.9962372066,
106,Isle of Man,IMN,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
107,India,IND,Scientific and technical journal articles,,,,,,,,,,,26797.1,28930.1,33215.8,38590.3,43624.9,48794.2,54667.1,62790.2,75337.3,82182.2,88942.4,100574.8,106663.4,110319.6,
108,Not classified,INX,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
109,Ireland,IRL,Scientific and technical journal articles,,,,,,,,,,,3069.3,3824.8,4742.8,4857.3,5520.7,5786.7,6437.4,7035.7,7433.1,7182.9,7261.8,7374.5,6852.3,6834.4,
110,"Iran, Islamic Rep.",IRN,Scientific and technical journal articles,,,,,,,,,,,3768.4,5017.1,7102.8,10072.5,13202.9,16841.7,20594.4,25208.6,31419.4,32195.1,33761.3,36310.9,36748.6,40974.5,
111,Iraq,IRQ,Scientific and technical journal articles,,,,,,,,,,,116.0,90.7,139.5,244.5,231.7,304.3,361.8,554.8,653.7,843.3,853.4,865.5,897.3,1227.3,
112,Iceland,ISL,Scientific and technical journal articles,,,,,,,,,,,258.5,300.0,354.7,361.6,364.4,431.3,497.1,567.5,553.3,636.3,594.7,589.5,611.7,651.8,
113,Israel,ISR,Scientific and technical journal articles,,,,,,,,,,,9676.4,10237.0,10398.4,11040.4,11238.9,11366.8,11270.8,11014.4,11414.9,11916.3,11749.8,12265.8,12216.4,11892.7,
114,Italy,ITA,Scientific and technical journal articles,,,,,,,,,,,41207.1,43636.6,47357.3,50159.4,53837.1,55940.8,58398.7,58805.7,60842.3,65276.2,68768.3,70780.7,70814.2,69125.2,
115,Jamaica,JAM,Scientific and technical journal articles,,,,,,,,,,,142.1,156.7,135.8,141.2,173.4,208.6,204.8,187.8,215.5,223.8,195.9,160.1,144.5,134.8,
116,Jordan,JOR,Scientific and technical journal articles,,,,,,,,,,,657.9,740.9,794.5,954.3,1086.1,1224.8,1294.1,1452.8,1464.7,1444.9,1520.6,1471.8,1509.8,1651.8,
117,Japan,JPN,Scientific and technical journal articles,,,,,,,,,,,97235.2,100403.7,109662.2,110502.8,108760.8,106897.5,108237.4,108292.4,110570.0,109424.5,109257.9,106154.6,99812.4,96536.2,
118,Kazakhstan,KAZ,Scientific and technical journal articles,,,,,,,,,,,238.8,228.9,241.2,215.1,213.8,226.8,270.4,324.4,382.7,478.9,1014.9,1065.5,1259.3,1563.8,
119,Kenya,KEN,Scientific and technical journal articles,,,,,,,,,,,409.2,439.3,456.3,490.4,566.0,592.6,678.8,701.2,805.0,804.1,919.6,978.2,950.8,987.1,
120,Kyrgyz Republic,KGZ,Scientific and technical journal articles,,,,,,,,,,,20.2,30.2,43.1,50.0,37.4,51.4,33.8,34.2,49.9,49.2,62.7,55.9,50.9,100.8,
121,Cambodia,KHM,Scientific and technical journal articles,,,,,,,,,,,25.3,35.7,36.6,47.5,50.7,54.7,61.6,58.9,72.0,75.8,85.7,94.3,111.4,116.9,
122,Kiribati,KIR,Scientific and technical journal articles,,,,,,,,,,,0.1,0.0,0.0,2.4,1.8,0.0,0.3,0.3,0.0,1.0,1.1,1.9,1.4,2.2,
123,St. Kitts and Nevis,KNA,Scientific and technical journal articles,,,,,,,,,,,0.2,0.7,2.0,1.9,2.0,4.2,2.8,4.7,4.3,9.3,13.1,13.2,15.3,20.8,
124,"Korea, Rep.",KOR,Scientific and technical journal articles,,,,,,,,,,,23201.1,27398.8,31646.6,36746.8,41521.7,44300.9,46020.6,50935.1,54716.8,57373.7,59205.9,62691.2,64523.1,63063.0,
125,Kuwait,KWT,Scientific and technical journal articles,,,,,,,,,,,512.7,544.5,620.5,646.4,711.4,756.8,776.5,748.6,800.2,830.6,878.7,794.4,874.0,738.6,
126,Latin America & Caribbean (excluding high income),LAC,Scientific and technical journal articles,,,,,,,,,,,26698.7238176656,30144.2914182442,34299.0729332998,42477.8333971198,45815.198874818496,52508.3493268621,56441.907726313395,60603.5,64469.8,70806.5,73973.5,78462.5,78431.2,79294.7,
127,Lao PDR,LAO,Scientific and technical journal articles,,,,,,,,,,,17.7,37.0,23.3,40.0,27.5,35.0,40.7,44.5,48.0,59.9,72.3,55.7,68.6,85.1,
128,Lebanon,LBN,Scientific and technical journal articles,,,,,,,,,,,459.9,481.9,552.6,635.0,652.5,717.7,762.6,790.4,888.0,1023.3,1096.3,1219.5,1278.1,1397.9,
129,Liberia,LBR,Scientific and technical journal articles,,,,,,,,,,,1.3,0.6,1.3,4.7,2.8,2.4,4.7,3.4,8.3,9.8,9.0,11.8,16.6,16.6,
130,Libya,LBY,Scientific and technical journal articles,,,,,,,,,,,55.3,62.2,76.6,92.0,109.9,129.0,229.4,301.9,126.9,158.5,218.5,199.0,172.0,138.7,
131,St. Lucia,LCA,Scientific and technical journal articles,,,,,,,,,,,0.8,0.6,2.4,3.4,2.0,0.7,0.0,2.8,5.0,1.3,2.7,0.2,2.8,4.7,
132,Latin America & Caribbean,LCN,Scientific and technical journal articles,,,,,,,,,,,34391.3047543657,38186.9708037287,43035.198009547,52542.9801332492,56377.6818283917,64292.720112238494,69191.3770385691,74055.0233600066,78870.5426209423,85998.9364055248,89260.862176931,95529.5848829433,95423.4897213081,96586.33272873971,
133,Least developed countries: UN classification,LDC,Scientific and technical journal articles,,,,,,,,,,,2239.56864458026,2348.25016760657,2677.57484471425,3108.01695871641,3706.6114935917603,3898.61562975508,4449.96364501505,5043.2111692259705,5460.6897310696395,6299.17163941746,6737.571495268149,7633.54005129984,7684.6610798987795,8406.958196306641,
134,Low income,LIC,Scientific and technical journal articles,,,,,,,,,,,1747.15389535685,1889.7849273122501,2103.70557012298,2408.46365184478,2723.80078580258,2701.3202998010697,2991.9204208848,3398.5368954172804,3707.2,4153.5,4493.0,5166.4,5331.7,5493.8,
135,Liechtenstein,LIE,Scientific and technical journal articles,,,,,,,,,,,14.5,23.8,33.6,34.4,24.6,39.0,25.2,40.2,41.2,34.1,31.3,38.9,30.3,35.4,
136,Sri Lanka,LKA,Scientific and technical journal articles,,,,,,,,,,,247.2,244.0,332.3,369.5,420.6,469.6,475.8,501.8,578.4,617.7,743.6,704.8,756.7,1032.9,
137,Lower middle income,LMC,Scientific and technical journal articles,,,,,,,,,,,44243.43589579519,47767.489712395596,54296.5848412263,60948.0585348379,68703.8634499105,76798.5372669599,86929.95914846599,98766.72435435529,115574.49777072,125875.435444894,137416.133404474,151906.67386019,161112.513801116,172760.365870923,
138,Low & middle income,LMY,Scientific and technical journal articles,,,,,,,,,,,227687.936872712,274013.711756947,338492.70386223804,382540.143776804,430690.806265952,491552.080571269,560814.076190521,618042.50850412,670588.165982247,692884.552995128,749891.559467688,811957.475996202,850897.4998164771,891992.786149192,
139,Lesotho,LSO,Scientific and technical journal articles,,,,,,,,,,,5.4,5.9,4.7,10.8,9.6,11.1,8.1,8.1,8.3,18.3,14.0,8.9,19.1,22.8,
140,Late-demographic dividend,LTE,Scientific and technical journal articles,,,,,,,,,,,176201.55771718602,217294.70479964302,273108.27761165303,306080.98997044197,342010.137485829,393446.533689001,445779.79258512397,487152.11304439104,518635.18413859204,529262.395062116,572143.1896379279,617702.770862387,648011.3655307321,673760.410619759,
141,Lithuania,LTU,Scientific and technical journal articles,,,,,,,,,,,826.5,1182.9,1476.8,1676.7,1578.5,2493.0,2264.8,2345.5,2456.6,2310.5,2319.2,2471.7,2460.5,2181.2,
142,Luxembourg,LUX,Scientific and technical journal articles,,,,,,,,,,,86.7,141.7,142.2,198.4,211.1,309.7,389.0,461.3,586.8,595.6,772.2,865.7,797.9,817.9,
143,Latvia,LVA,Scientific and technical journal articles,,,,,,,,,,,258.4,281.0,435.3,366.5,474.3,585.3,681.7,767.1,1274.3,1194.4,1235.3,1162.3,1476.1,1256.8,
144,"Macao SAR, China",MAC,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
145,St. Martin (French part),MAF,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,
146,Morocco,MAR,Scientific and technical journal articles,,,,,,,,,,,921.3,951.6,917.1,983.5,1043.4,1214.3,1470.0,1659.5,2007.5,2298.1,2506.2,3175.5,3156.6,4062.5,
147,Monaco,MCO,Scientific and technical journal articles,,,,,,,,,,,25.7,37.8,36.5,34.3,30.1,35.4,41.8,40.9,49.0,30.4,36.5,40.2,41.1,39.7,
148,Moldova,MDA,Scientific and technical journal articles,,,,,,,,,,,155.1,121.9,203.7,143.5,147.0,164.8,199.3,172.3,203.2,231.0,231.0,239.3,193.6,295.4,
149,Madagascar,MDG,Scientific and technical journal articles,,,,,,,,,,,65.2,50.0,56.2,62.4,104.2,81.5,86.2,81.2,98.0,93.2,118.0,122.0,120.4,102.8,
150,Maldives,MDV,Scientific and technical journal articles,,,,,,,,,,,2.4,1.3,3.2,4.1,4.8,0.9,3.0,2.8,6.7,8.9,5.0,8.9,6.2,4.9,
151,Middle East & North Africa,MEA,Scientific and technical journal articles,,,,,,,,,,,24375.728922886698,27192.819180432598,30480.973146611603,35926.586778337594,40831.850744286,46877.8080046816,54016.8875889486,61153.543174714905,71419.6818248028,76642.5905942784,81837.3203811835,87823.78867837481,90667.5429194283,98012.0563766283,
152,Mexico,MEX,Scientific and technical journal articles,,,,,,,,,,,6601.5,7198.8,8286.0,9322.0,9492.1,10476.3,10747.8,11436.3,11959.0,12746.5,13469.6,14587.8,14485.4,14529.4,
153,Marshall Islands,MHL,Scientific and technical journal articles,,,,,,,,,,,3.8,1.0,1.8,3.8,1.1,1.6,1.7,1.5,1.5,1.5,1.3,1.2,2.6,1.3,
