,Country Name,Country Code,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
35,Switzerland,CHE,GDP per capita (current US$),38100.736729035,41843.7568835613,48662.4397737883,46676.850944168,40417.9622817609,41497.2026053116,40581.3070515572,37868.3230595798,38538.9900530944,41376.3939853959,48087.5831393144,53340.147655778,54952.6737181498,57579.5019538093,63555.2374995504,72487.8459296849,69927.4687701171,74605.7210207051,88415.6280609527,83538.2300783858,85112.4643984141,86605.5633762421,82016.02131294321,79866.0318745681,80189.6968607849
36,Channel Islands,CHI,GDP per capita (current US$),,,,,,40537.5116868009,42405.4971449866,43299.401141101,41610.1305834392,44159.2107722825,48226.396676878,55844.11669440981,57210.7322855894,62261.8280114141,73569.644964552,,,,,,,,,,
37,Chile,CHL,GDP per capita (current US$),3551.03018599296,4045.6214285068395,5137.37507753084,5382.846519305879,5781.103423241421,5479.49806414126,4986.0074169521895,5101.36847857517,4595.6663273571,4463.54586721356,4787.6995320244605,6210.828324871651,7615.304679914109,9484.68122668526,10526.8774613085,10781.3660783703,10243.328236588,12860.1776447469,14705.6924209903,15431.9029324117,15941.397219235501,14794.315829612,13736.635687931299,13960.894209996,15346.4496997595
38,China,CHN,GDP per capita (current US$),377.38983947995797,473.492278718042,609.6566792024839,709.413755085039,781.744164341053,828.580479295681,873.2870617257901,959.372483639691,1053.1082430045199,1148.5082904417,1288.64325183381,1508.6680978826598,1753.41782925823,2099.22943460447,2695.36591709669,3471.2480543115003,3838.43397176904,4560.512586009289,5633.7957168394,6337.88332279255,7077.7707653955795,7683.502613091179,8069.2130238951095,8117.267465431791,8826.99409574835
39,Cote d'Ivoire,CIV,GDP per capita (current US$),810.8329724004069,590.30013327208,756.501135389684,809.538737155103,758.911907995244,793.981078525675,759.292202935166,642.254713999242,656.834565049434,710.9611683296049,865.789649014533,919.806802750387,931.754286971344,951.9478955646911,1065.89637469891,1242.4310438846499,1217.7492057510601,1219.74909551521,1214.70394645331,1262.48021811586,1423.6822822257502,1569.92827532574,1434.32661467505,1535.06812143674,1662.44246666917
40,Cameroon,CMR,GDP per capita (current US$),1214.69737926409,808.576094562424,716.436926929281,761.151764985977,764.784606680105,730.732693776389,751.978291371586,660.192697065032,661.777441692704,719.889658413577,881.0102085714909,1027.82300039134,1030.03819294642,1081.3698306081199,1215.8082128983501,1396.82498760165,1338.88437707877,1309.1222080194802,1429.64755266211,1380.50984820072,1493.74656747065,1571.1825346636701,1353.9244896144698,1374.5158991066,1446.7028948332002
41,"Congo, Dem. Rep.",COD,GDP per capita (current US$),275.69582308160096,144.52066991017298,135.673480827868,134.939946979025,138.964642011182,138.615475965894,102.644798535712,405.469653093749,153.69957329168003,175.13607148129398,173.916351831834,194.166786345182,218.52350917279801,255.591313804132,286.507537175541,327.76765426989897,298.80695623007006,334.23173941160996,387.323579611156,424.859133741434,458.125365192964,487.19828055520304,497.629755726028,444.41033459866304,457.84738680633905
42,"Congo, Rep.",COG,GDP per capita (current US$),724.547842391451,649.9053718114401,755.916834291727,882.4250745711801,784.048105555356,639.4985576643701,750.526588901351,998.196856210498,842.7090677443041,886.361665299432,998.101311670601,1289.33783690965,1637.06438124572,2012.1100704730602,2111.20948856339,2881.59411605216,2255.33311863864,2737.34233022991,3196.6475237082395,2952.05234806594,2964.5729890305797,2910.52022576864,1712.12114632566,1528.24472001004,1658.04362511719
43,Colombia,COL,GDP per capita (current US$),1541.7123694252898,2218.78470951979,2470.68362290375,2553.54969231571,2759.95274759156,2509.13963334121,2164.43292920418,2472.19783098297,2395.8565512517102,2355.72585669892,2246.2574724306,2740.24944202769,3386.0256000181103,3709.0787758991205,4674.21961032951,5433.72045003263,5148.42211290856,6250.65504429614,7227.739679833491,7884.9844288286495,8030.586030490391,7913.383432486429,6044.52555566556,5756.86160202051,6301.58987782717
44,Comoros,COM,GDP per capita (current US$),586.653388456626,401.840936409312,487.79797297111196,471.72127501467,422.548793806893,417.928473023034,420.877934215208,375.85285658475306,395.93193630154195,433.269145081919,544.5066526027571,616.4197236063279,621.903370202384,648.300871676333,720.7593012587309,795.970501862599,778.5454198645441,769.174288260466,829.758688479073,788.632652955229,834.341094890303,852.9543078628461,727.6463868270461,775.080084631843,797.286368474789
45,Cabo Verde,CPV,GDP per capita (current US$),1328.9939939475698,1072.3307881994099,1251.90231860834,1258.80907000896,1201.9566556623402,1250.61537591953,1389.71979558014,1239.37785465723,1268.88456421816,1373.51563622315,1768.92130162582,1976.45850602099,2048.13459038853,2304.2899020135997,3112.2856010919895,3638.9059463964504,3444.5565998468396,3312.82598480901,3670.4294525969203,3408.48276238421,3558.79631344024,3529.61840319326,2995.15055267969,3037.52564241437,3209.6911199966603
46,Costa Rica,CRI,GDP per capita (current US$),2854.62020014617,3045.4067327635903,3279.3265064176003,3230.23415516299,3408.36510115578,3614.56256657289,3688.3983141449703,3808.36368918324,3981.5280469657,4062.0149648607794,4167.71410665586,4425.50746720577,4697.01113456115,5245.18737215155,6120.623399763311,6911.13615246666,6809.396223668411,8199.41462068027,9186.59638993395,9985.36958970111,10569.6663143866,10630.997900768001,11393.0239509727,11732.710548475701,11630.6683963387
47,Caribbean small states,CSS,GDP per capita (current US$),3041.30761977786,3173.9421080931297,3479.26455363562,3768.3703203277,4384.842956256271,4624.379777764,4895.05526902508,5215.61334090592,5331.77072393481,5566.693004023249,5910.03937471759,6423.08895877709,7214.815533454041,8024.01363987522,8855.47349586473,9988.744940334878,8365.03388792848,9039.28863295754,9728.00130228625,9976.72722737489,10026.6740925679,10125.4068244027,9842.96867053897,9355.86825345279,9517.93264393172
48,Cuba,CUB,GDP per capita (current US$),2072.16741914613,2621.8242386707,2790.17822057177,2282.38961876878,2303.09053500446,2326.11222110386,2553.0697596228897,2741.11054194091,2832.18889268909,2994.3399882938106,3192.6693781217,3390.7162556367302,3779.05706959956,4669.06091614789,5184.4942274144705,5376.4476221145005,5484.77630011197,5676.14140269906,6075.92430626005,6425.941118660749,6760.15343974549,7050.501990119201,7602.261218318969,,
