,Country,Year,Num of Systems,RMax,RPeak,Total Cores,GDPpC,HDI,Q1,Q2,Q3,Q4,Top10,Cluster
76,Country: Canada,Year: 1996,4,82.14,90.506,65,21183.2200827089,0.863,22281,13544,7346,3320,11765,cluster_2
77,Country: Austria,Year: 1996,4,21.605999999999998,44.88,184,29809.0767730821,0.82,3265,2445,1466,664,1605,cluster_2
78,Country: South Korea,Year: 1996,3,29.05,35.738,88,13137.908070161398,0.789,4288,2948,2468,1170,2023,cluster_2
79,Country: Denmark,Year: 1996,3,30.71,36.216,84,35650.724342009904,0.8370000000000001,4306,2449,1327,484,2214,cluster_2
80,Country: Sweden,Year: 1996,3,31.734,48.81,262,32587.264104464102,0.863,9059,5357,2411,930,4551,cluster_2
81,Country: Finland,Year: 1996,3,35.63500000000001,53.583999999999996,98,25777.6412996396,0.823,4073,2350,1267,525,2006,cluster_2
82,Country: Taiwan,Year: 1996,1,15.23,21.28,80,,,4945,3251,2146,875,2425,cluster_2
83,Country: Israel,Year: 1996,1,12.5,17.024,64,19317.871040071,0.828,5598,3492,1825,673,2963,cluster_2
84,Country: Norway,Year: 1996,1,25.1,38.4,64,37321.4433901355,0.888,2755,1805,1321,417,1282,cluster_2
85,Country: Saudi Arabia,Year: 1996,1,7.97,10.78,35,8293.22070270384,0.727,698,882,401,174,339,cluster_2
86,Country: China,Year: 1996,1,6.569,8.512,32,709.413755085039,0.5589999999999999,7316,7748,9339,6558,3084,cluster_2
87,Country: Hong Kong,Year: 1996,1,6.569,8.512,32,24818.154552351694,0.8109999999999999,2062,1411,849,398,1058,cluster_2
88,Country: Slovenia,Year: 1996,1,6.192,12.8,64,10801.428430554699,0.7879999999999999,498,383,348,273,190,cluster_2
89,Country: Singapore,Year: 1996,1,5.872000000000001,7.8,20,26263.016267519302,0.782,1360,1163,500,239,653,cluster_2
90,Country: South Africa,Year: 1996,1,5.78,7.447999999999999,28,3440.86422316801,0.647,1628,1629,1063,296,761,cluster_2
91,Country: Poland,Year: 1996,1,5.452000000000001,7.68,32,4140.983541141421,0.748,3601,3608,3612,1543,1431,cluster_2
92,Country: New Zealand,Year: 1996,1,4.862,6.24,16,18794.436039393,0.8540000000000001,2354,1742,957,279,1210,cluster_2
93,Country: Egypt,Year: 1996,1,4.862,6.24,16,1041.5234479608198,0.584,954,970,625,412,406,cluster_2
94,Country: Luxembourg,Year: 1996,1,4.62,6.48,18,52571.9349918208,0.8170000000000001,23,26,12,10,11,cluster_2
95,Country: Germany,Year: 1997,43,1671.53,2541.672999999999,4197,27045.719127331802,0.8440000000000001,34185,23614,17554,10440,16798,cluster_2
96,Country: United Kingdom,Year: 1997,24,1137.486,1691.2760000000005,2720,26621.4800592777,0.8490000000000001,49622,27555,14229,6203,24490,cluster_2
97,Country: France,Year: 1997,20,553.6270000000002,828.4200000000003,1929,24228.942350896406,0.8340000000000001,25797,16410,11586,6461,13115,cluster_2
98,Country: South Korea,Year: 1997,9,183.81,255.078,363,12131.874704259199,0.8,5192,3579,3308,1559,2344,cluster_2
99,Country: Netherlands,Year: 1997,8,129.98999999999998,166.491,320,26404.986730145,0.865,13003,6867,3687,1939,6950,cluster_2
100,Country: Sweden,Year: 1997,7,197.63,278.50600000000003,613,29897.7926311935,0.8740000000000001,9417,5497,2580,1390,4762,cluster_2
101,Country: Switzerland,Year: 1997,6,113.20000000000002,145.70999999999995,851,40417.9622817609,0.8640000000000001,8319,4324,2652,1565,4638,cluster_2
102,Country: Spain,Year: 1997,4,65.78,88.32000000000002,196,14696.2161077085,0.81,11731,7905,5834,2508,5728,cluster_2
103,Country: Italy,Year: 1997,3,75.75999999999998,111.84,184,21779.6243667018,0.8140000000000001,17742,12404,7533,3528,8538,cluster_2
104,Country: Norway,Year: 1997,3,73.06,102.72,216,36628.517415574104,0.894,2990,1847,1516,438,1437,cluster_2
105,Country: Canada,Year: 1997,3,164.11,174.896,136,21770.1340814172,0.862,21799,13815,7511,3467,11517,cluster_2
106,Country: Australia,Year: 1997,2,39.08,43.96,45,23468.5968306374,0.889,12649,8787,4586,1813,6194,cluster_2
107,Country: Brazil,Year: 1997,2,27.93,35.2,72,5271.41222246603,0.664,4148,3691,2668,1201,1835,cluster_2
108,Country: Israel,Year: 1997,2,23.28,29.024,88,19658.1326309076,0.835,5962,3702,2047,827,3176,cluster_2
109,Country: Mexico,Year: 1997,2,21.62,25.48,58,5143.961120073879,0.6829999999999999,2228,1565,1118,831,934,cluster_2
110,Country: Finland,Year: 1997,1,101.0,168.0,224,24676.4970769622,0.8320000000000001,4337,2438,1325,601,2181,cluster_2
111,Country: Denmark,Year: 1997,1,31.1,32.0,16,32835.9287666102,0.843,4747,2626,1908,516,2478,cluster_2
112,Country: Russian Federation,Year: 1997,1,20.3,24.0,48,2737.55666234068,0.7040000000000001,6448,5594,9669,12151,2667,cluster_2
113,Country: Taiwan,Year: 1997,1,15.23,21.28,80,,,5351,3534,2214,1011,2542,cluster_2
114,Country: Liechtenstein,Year: 1997,1,15.01,23.04,32,72190.7905862245,,17,12,1,2,5,cluster_2
115,Country: South Africa,Year: 1997,1,10.35,12.0,24,3495.11122228324,0.644,1727,1827,1138,393,772,cluster_2
116,Country: United Kingdom,Year: 1998,28,2253.473,3116.97,4259,28014.894699495297,0.855,51972,28212,13989,6096,25526,cluster_2
117,Country: France,Year: 1998,14,709.3399999999998,998.3000000000003,1478,24974.272199000497,0.8390000000000001,27069,16754,11483,6432,13803,cluster_2
118,Country: Canada,Year: 1998,8,449.02,575.1619999999998,608,20887.8394667666,0.861,21471,13621,7521,3385,11323,cluster_2
119,Country: Switzerland,Year: 1998,6,152.89,192.31000000000003,484,41497.2026053116,0.873,9043,4414,2645,1446,4998,cluster_2
120,Country: Sweden,Year: 1998,6,253.79,341.88,614,30143.627458278,0.888,9826,5688,2741,1545,5028,cluster_2
121,Country: South Korea,Year: 1998,6,212.87,304.4,429,8085.32352838328,0.797,5944,4218,3598,1414,2627,cluster_2
122,Country: Spain,Year: 1998,5,112.83,144.04,260,15340.3321141928,0.8140000000000001,12553,8231,6245,2796,6005,cluster_2
123,Country: Netherlands,Year: 1998,4,140.04999999999998,206.6,290,27533.6067928156,0.867,13468,7255,3648,1873,7238,cluster_2
124,Country: Australia,Year: 1998,3,110.15,117.56,109,21318.964169431798,0.892,13422,8901,4786,1817,6488,cluster_2
125,Country: Norway,Year: 1998,2,81.35,106.32,222,34788.7785642698,0.906,3176,2017,1556,420,1453,cluster_2
126,Country: Denmark,Year: 1998,2,50.56,58.88,58,33368.1548509045,0.8490000000000001,5038,2776,1874,503,2648,cluster_2
127,Country: Mexico,Year: 1998,2,46.49,55.93,84,5327.81190127662,0.69,2348,1753,1206,890,1103,cluster_2
128,Country: Finland,Year: 1998,1,123.0,177.0,236,25989.407503518,0.84,4607,2560,1300,620,2382,cluster_2
129,Country: Italy,Year: 1998,1,142.36,206.4,172,22252.358086231,0.8190000000000001,18336,12532,7437,3494,8718,cluster_2
130,Country: Belgium,Year: 1998,1,25.37,30.63,46,25541.674723365602,0.866,6263,3742,2444,1336,3211,cluster_2
131,Country: Hong Kong,Year: 1998,1,22.19,30.72,48,25808.970952452997,0.8170000000000001,2791,1897,1169,518,1405,cluster_2
132,Country: Taiwan,Year: 1998,1,20.37,29.21,110,,,5511,3617,2482,1037,2671,cluster_2
133,Country: Russian Federation,Year: 1998,1,20.3,24.0,48,1834.8469373328696,0.703,6371,6060,9963,12436,2613,cluster_2
134,Country: France,Year: 1999,27,2162.79,3141.4999999999995,3626,24673.1989691744,0.845,27837,16826,11915,6953,14376,cluster_2
135,Country: United Kingdom,Year: 1999,24,3203.140000000001,4759.31,5458,28383.6689052533,0.861,52881,28497,14314,6311,26808,cluster_2
136,Country: Sweden,Year: 1999,7,422.36,613.01,860,30577.0817743892,0.893,10216,5651,2767,1607,5211,cluster_2
137,Country: Netherlands,Year: 1999,7,397.05,635.59,916,27951.734289322998,0.87,13615,6594,3533,1839,7529,cluster_2
138,Country: Italy,Year: 1999,6,426.9,687.1,742,21936.8231293509,0.8240000000000001,19581,12243,7271,3443,9499,cluster_2
139,Country: Switzerland,Year: 1999,5,255.9,479.53,696,40581.3070515572,0.8809999999999999,9364,4570,2698,1645,5248,cluster_2
140,Country: South Korea,Year: 1999,5,354.07,442.96,411,10409.3268882433,0.8079999999999999,6940,4900,4066,2054,3064,cluster_2
141,Country: Canada,Year: 1999,5,436.19,529.09,460,22167.225849888197,0.8640000000000001,22009,13142,7362,3385,11647,cluster_2
142,Country: Australia,Year: 1999,4,198.34,269.98,316,20521.7775705928,0.895,13964,9161,4658,1973,6781,cluster_2
143,Country: Luxembourg,Year: 1999,4,142.93,200.73,280,51654.4027951819,0.8490000000000001,40,25,11,5,20,cluster_2
144,Country: Finland,Year: 1999,2,185.25,253.8,364,26178.791784550802,0.848,4796,2556,1383,632,2452,cluster_2
145,Country: Norway,Year: 1999,2,81.35,106.32,222,36371.3957875661,0.911,3212,1979,1300,400,1493,cluster_2
146,Country: Austria,Year: 1999,1,39.43,82.33,124,27174.2971559775,0.8340000000000001,4055,2791,1742,985,2017,cluster_2
147,Country: Mexico,Year: 1999,1,35.17,46.62,70,5984.34106789082,0.695,2475,1935,1507,1079,1106,cluster_2
148,Country: China,Year: 1999,1,37.4,48.0,60,873.2870617257901,0.585,10775,11323,13612,8649,4358,cluster_2
149,Country: New Zealand,Year: 1999,1,109.3,158.4,132,15322.2238340267,0.865,2733,2131,1091,417,1364,cluster_2
150,Country: Israel,Year: 1999,1,42.4,60.16,94,19133.048197813798,0.85,6041,3786,1970,801,3178,cluster_2
151,Country: Belgium,Year: 1999,1,43.07,90.3,136,25444.1392583071,0.868,6438,3859,2516,1455,3440,cluster_2
152,Country: Taiwan,Year: 1999,1,139.0,144.0,15,,,5717,3786,2661,1171,2697,cluster_2
153,Country: Denmark,Year: 1999,1,33.9,48.0,100,33440.8016200638,0.861,5164,2692,1701,531,2787,cluster_2
154,Country: Netherlands,Year: 2000,14,1160.8200000000004,1493.01,1984,25921.1279408277,0.8759999999999999,14575,6771,3810,2170,8069,cluster_2
155,Country: Italy,Year: 2000,9,854.91,1180.48,1340,20051.2421548342,0.83,21486,13802,7703,4160,10243,cluster_2
156,Country: Sweden,Year: 2000,8,943.12,1423.0399999999993,1778,29283.005046157203,0.897,10583,5772,2951,1652,5423,cluster_2
157,Country: Canada,Year: 2000,8,915.5,1206.4699999999998,1092,24124.169174631006,0.867,23108,13639,7685,3643,12310,cluster_2
158,Country: Switzerland,Year: 2000,8,545.17,796.3299999999998,984,37868.3230595798,0.889,9480,4669,2826,1713,5454,cluster_2
159,Country: Austria,Year: 2000,5,970.6,1435.3,1262,24564.4582948404,0.838,4424,2961,1781,922,2252,cluster_2
160,Country: Australia,Year: 2000,5,629.25,783.9999999999999,672,21669.410913093998,0.898,14788,9580,5365,2212,7232,cluster_2
161,Country: Finland,Year: 2000,4,898.25,1279.8,1200,24253.2504245786,0.858,5201,2850,1442,700,2641,cluster_2
162,Country: South Korea,Year: 2000,4,487.87,614.8,410,11947.579128206102,0.8170000000000001,7961,5886,4392,1981,3566,cluster_2
163,Country: Brazil,Year: 2000,2,144.82999999999996,185.6,232,3739.1161387651796,0.684,5861,5166,3572,1906,2623,cluster_2
164,Country: Spain,Year: 2000,2,143.57999999999996,192.0,184,14676.7060880231,0.825,13917,9512,6499,3011,6801,cluster_2
165,Country: Belgium,Year: 2000,2,141.6,210.3,216,23207.405911007798,0.873,6758,3753,2420,1541,3514,cluster_2
166,Country: Taiwan,Year: 2000,2,310.0,396.0,183,,,6190,4055,3058,1363,3053,cluster_2
167,Country: Denmark,Year: 2000,2,230.0,333.0,222,30743.5591735847,0.863,5561,2907,1791,570,2891,cluster_2
168,Country: Luxembourg,Year: 2000,2,217.2,307.2000000000001,384,48735.995492187,0.855,53,39,24,9,18,cluster_2
169,Country: Saudi Arabia,Year: 2000,2,360.0,531.0,354,9126.95427680596,0.743,608,842,381,200,287,cluster_2
170,Country: Mexico,Year: 2000,1,118.1,153.6,192,6959.388717014879,0.7020000000000001,2803,1938,1496,1002,1233,cluster_2
171,Country: New Zealand,Year: 2000,1,109.3,158.4,132,13640.988889806202,0.8690000000000001,2812,2108,1116,457,1445,cluster_2
172,Country: Hong Kong,Year: 2000,1,441.0,636.0,424,25756.6637783278,0.8270000000000001,3393,2249,1395,636,1735,cluster_2
173,Country: Norway,Year: 2000,1,72.57,96.0,160,38146.7153917477,0.917,3342,2092,1489,506,1571,cluster_2
174,Country: Israel,Year: 2000,1,71.7,89.6,112,21042.9816003225,0.853,6448,4232,2136,866,3414,cluster_2
175,Country: Hungary,Year: 2000,1,59.04,76.8,96,4633.31292266249,0.769,2235,1856,1409,687,939,cluster_2
176,Country: Poland,Year: 2000,1,59.04,76.8,96,4492.7276035593795,0.785,4698,4532,4301,2092,1913,cluster_2
177,Country: France,Year: 2001,23,3892.4,5228.230000000001,3565,22433.555714194503,0.851,29460,16867,12708,8706,15910,cluster_2
178,Country: South Korea,Year: 2001,16,2281.9,3224.0000000000014,1612,11252.907554078301,0.8240000000000001,9130,6427,5062,2408,4392,cluster_2
179,Country: Canada,Year: 2001,11,1622.4000000000005,2181.59,1681,23691.5947188738,0.872,23414,13553,7951,3838,12644,cluster_2
180,Country: Italy,Year: 2001,11,1348.43,1884.6,1278,20400.8111115225,0.8370000000000001,22071,13972,8783,4675,11073,cluster_2
181,Country: Netherlands,Year: 2001,10,1835.0,2503.800000000001,2190,26584.121690627202,0.879,14723,7019,4106,2224,8195,cluster_2
182,Country: Sweden,Year: 2001,5,897.34,1396.4,1480,26969.244574725697,0.9,10995,5835,3044,1832,5754,cluster_2
183,Country: Finland,Year: 2001,4,809.4,1160.2,924,24913.244516358398,0.8640000000000001,5292,2897,1674,904,2829,cluster_2
184,Country: Taiwan,Year: 2001,4,634.9,824.8,385,,,7120,4606,3236,1654,3526,cluster_2
185,Country: Australia,Year: 2001,4,1206.51,1573.2,800,19482.5679026647,0.9,15524,10063,5679,2682,7687,cluster_2
186,Country: Venezuela,Year: 2001,3,299.0,422.4,192,4926.31133879699,0.68,460,437,333,330,240,cluster_2
187,Country: China,Year: 2001,3,395.8,563.2,256,1053.1082430045199,0.602,14359,15999,21562,13511,6137,cluster_2
188,Country: Austria,Year: 2001,3,311.2,446.8,268,24537.5142629883,0.8490000000000001,4653,3075,2015,1159,2378,cluster_2
189,Country: Saudi Arabia,Year: 2001,2,772.0,1080.0,720,8643.49400482948,0.746,604,812,391,245,257,cluster_2
190,Country: Spain,Year: 2001,2,231.2,332.8,192,15323.6113977547,0.828,15079,9925,7404,3568,7573,cluster_2
191,Country: Mexico,Year: 2001,2,218.0,294.4,256,7341.882477822991,0.705,2859,2150,1847,1239,1338,cluster_2
192,Country: Denmark,Year: 2001,2,230.0,333.0,222,30751.649460384302,0.8759999999999999,5654,2856,1827,624,3082,cluster_2
193,Country: Switzerland,Year: 2001,2,238.9,320.0,256,38538.9900530944,0.8909999999999999,9808,4517,2944,1829,5764,cluster_2
194,Country: Belgium,Year: 2001,2,295.4,422.4,192,23121.6011440246,0.8759999999999999,7063,3891,2543,1600,3738,cluster_2
195,Country: Norway,Year: 2001,2,240.2,316.8,284,38549.5893413937,0.916,3593,2092,1619,571,1770,cluster_2
196,Country: Brazil,Year: 2001,2,392.5,563.2,256,3146.94890366357,0.691,6166,5398,4346,2134,2865,cluster_2
197,Country: Luxembourg,Year: 2001,1,137.1,204.8,256,48179.4208526047,0.861,59,49,30,11,34,cluster_2
198,Country: Hong Kong,Year: 2001,1,441.0,636.0,424,25230.2163329516,0.835,4059,2499,1546,806,2051,cluster_2
199,Country: New Zealand,Year: 2001,1,115.9,168.0,140,13882.8568268586,0.873,2870,2164,1106,479,1460,cluster_2
200,Country: Russian Federation,Year: 2001,1,109.1,158.4,72,2100.3623859404197,0.727,6822,5601,10858,14173,3288,cluster_2
201,Country: Portugal,Year: 2001,1,301.0,444.0,296,11729.146162981102,0.79,2273,1527,1043,596,1070,cluster_2
202,Country: Puerto Rico,Year: 2001,1,99.9,140.8,64,18123.198701991798,,239,133,68,60,129,cluster_2
203,Country: Singapore,Year: 2001,1,99.2,140.8,64,21577.0782270996,0.8220000000000001,2804,1933,1338,796,1371,cluster_2
204,Country: France,Year: 2002,22,9644.499999999996,13341.630000000005,6543,24177.3351674642,0.853,30708,17870,13187,9352,16543,cluster_2
205,Country: Italy,Year: 2002,16,5525.800000000002,9043.200000000004,2664,22196.506754722202,0.8420000000000001,23398,14623,9340,5116,11785,cluster_2
206,Country: South Korea,Year: 2002,9,2569.2,4550.2,1284,12782.5255346669,0.8320000000000001,10034,6999,6202,3214,4849,cluster_2
207,Country: Netherlands,Year: 2002,6,2036.4,4270.6,3600,28817.3232079888,0.878,15498,7301,4535,2612,9000,cluster_2
208,Country: Canada,Year: 2002,5,1166.0,1792.1,1136,24167.8043060561,0.877,24362,14261,8845,4961,13178,cluster_2
209,Country: Mexico,Year: 2002,5,1078.2,2060.8,1600,7398.80102021328,0.71,3077,2267,2054,1377,1395,cluster_2
210,Country: Sweden,Year: 2002,5,2256.4400000000005,3795.2,1824,29571.7044643283,0.902,11328,5970,3008,1384,5970,cluster_2
211,Country: China,Year: 2002,5,1899.1,3472.0,960,1148.5082904417,0.611,16826,16420,20997,14970,7597,cluster_2
212,Country: Belgium,Year: 2002,4,884.1000000000001,1308.8000000000004,528,25052.339390085497,0.879,7466,4215,2675,1802,4076,cluster_2
213,Country: Finland,Year: 2002,4,1847.4,3221.2,1308,26834.0262501804,0.867,5387,2946,1668,962,2920,cluster_2
214,Country: Thailand,Year: 2002,3,679.0,966.4,416,2096.05461742145,0.6659999999999999,1010,1313,577,372,517,cluster_2
215,Country: Brazil,Year: 2002,3,589.8,822.4,400,2819.6481201182,0.698,6941,6428,4943,2428,3339,cluster_2
216,Country: Egypt,Year: 2002,3,800.3,2757.4,2560,1210.22924881689,0.62,1265,1249,855,645,503,cluster_2
